Incident_ID,Weapon_Type,City,State
20210915ILCEC,Handgun,Champaign,IL
20210914TNLAL,Handgun,La Vergne,TN
20210914MOMCH,Multiple Handguns,Hazelwood,MO
20210913SCEDC,Handgun,Chesterfield County,SC
20210910CONOA,Handgun,Arvada,CO
20210910CASTP,Other,Palo Alto,CA
20210909NCSHE,unknown,Elizabeth City,NC
20210909MITRF,Handgun,Ferndale,MI
20210909ILCHC,Handgun,Champaign,IL
20210908MNPRB,Multiple Handguns,Brooklyn Park,MN
20210908ILCEC,Handgun,Champaign,IL
20210907TNLAL,Handgun,La Vergne,TN
20210907PAHAH,Handgun,Harrisburg,PA
20210907MAOMG,Other,Gloucester,MA
20210903NVDEL,Handgun,Las Vegas,NV
20210903NCJUC,Handgun,Charlotte,NC
20210903CAMTH,Handgun,Hayward,CA
20210903CABUB,Handgun,Buena Park,CA
20210902NMALA,Multiple Handguns,Albuquerque,NM
20210902INWEG,Handgun,Gary,IN
20210902GAWOS,Handgun,Stockbridge,GA
20210902CASAL,Handgun,Los Angeles,CA
20210902CASAL,Handgun,Los Angeles,CA
20210902CASAL,Handgun,Los Angeles,CA
20210902CASAL,Handgun,Los Angeles,CA
20210902ARLIL,Handgun,Little Rock,AR
20210901NCMTW,Handgun,Winston-Salem,NC
20210901ILFRC,Handgun,Chicago,IL
20210830NJWEN,Handgun,Newark,NJ
20210830NCNEW,Handgun,Wilmington,NC
20210830MDNEO,Handgun,Owings Mills,MD
20210830FLOKW,Other,West Palm Beach,FL
20210828CASAS,Handgun,Santa Maria,CA
20210827VAFRW,Handgun,Woodbridge,VA
20210827KYAPO,Handgun,Owensboro,KY
20210827INHAH,Handgun,Hammond,IN
20210826WAAKS,Multiple Handguns,Seattle,WA
20210826OHNOT,Handgun,Toledo,OH
20210826NYHAH,Handgun,Hauppauge,NY
20210822ILWER,Handgun,Rockford,IL
20210820NEMIO,unknown,Omaha,NE
20210820CACEF,Handgun,Fresno,CA
20210818SCORO,Handgun,Orangeburg,SC
20210818SCORO,Handgun,Orangeburg,SC
20210815VAROD,Handgun,Dale City,VA
20210814SCDAH,Other,Hartsville,SC
20210814ILMAC,unknown,Chicago,IL
20210813NMWAA,Handgun,Albuquerque,NM
20210813GACAS,Handgun,Smyrna,GA
20210812GALIL,Handgun,Lithonia,GA
20210812CANOS,Handgun,San Jacinto,CA
20210811COMAC,unknown,Colorado Springs,CO
20210811CAOAO,Handgun,Oakland,CA
20210810OHEAC,Handgun,Columbus,OH
20210807ORGIP,unknown,Portland,OR
20210806LASTH,Handgun,Houma,LA
20210805GACHD,unknown,Douglasville,GA
20210727WATYS,Handgun,SeaTac,WA
20210721ILTHC,unknown,Chicago,IL
20210719TXCAC,Other,Caldwell,TX
20210718ARFOL,Handgun,Little Rock,AL
20210709KSCAW,Handgun,Wichita,KS
20210708ILBEC,Handgun,Chicago,IL
20210704NYDRR,unknown,Rochester,NY
20210628CASLF,unknown,Fresno,CA
20210624ILABR,unknown,Rockford,IL
20210620CAGRM,Handgun,Modesto,CA
20210614TXEAF,Handgun,Fort Worth,TX
20210614NCROR,Multiple Handguns,Rowland,NC
20210614NCRJW,Handgun,Winston-Salem,NC
20210614NCRJW,Rifle,Winston-Salem,NC
